zone,x,y
Dun Morogh,29.9,71.9
Dun Morogh,29.8,73.8
Dun Morogh,29.8,71.3
Dun Morogh,29.8,71.3
Dun Morogh,29.8,71.3
Dun Morogh,29.8,71.3
Dun Morogh,29.8,71.3
Dun Morogh,30.4,74.8
Dun Morogh,29.8,71.3
Dun Morogh,28.5,67.7
Dun Morogh,28.8,67.2
Dun Morogh,28.4,67.5
Dun Morogh,28.6,66.4
Dun Morogh,28.8,68.3
Dun Morogh,29.2,67.5
Dun Morogh,22.6,71.4
Dun Morogh,22,71.3
Dun Morogh,22.6,71.4
Dun Morogh,25.1,75.7
Dun Morogh,26.3,79.3
Dun Morogh,25.1,75.7
Dun Morogh,26.8,79.8
Dun Morogh,30.5,80.2
Dun Morogh,22.8,80
Dun Morogh,20.9,76.1
Dun Morogh,25.1,75.7
Dun Morogh,28.8,69.8
Dun Morogh,28.5,67.7
Dun Morogh,28.8,66.4
Dun Morogh,25,76
Dun Morogh,33.5,71.8
Dun Morogh,35.6,65.8
Dun Morogh,46.7,53.8
Dun Morogh,46.8,52.4
Dun Morogh,47.3,52.3
Dun Morogh,50.1,49.4
Dun Morogh,46,51.7
Dun Morogh,50.4,49.1
Dun Morogh,49.6,48.5
Dun Morogh,49.7,50.8
Dun Morogh,44.1,57
Dun Morogh,42.4,54.1
Dun Morogh,40.7,65.1
Dun Morogh,46.8,52.4
Dun Morogh,49.6,48.5
Dun Morogh,30.2,45.6
Dun Morogh,27.8,48.3
Dun Morogh,30.2,45.6
Dun Morogh,37.9,42.1
Dun Morogh,37.9,42.1
Dun Morogh,41.2,36.4
Dun Morogh,49.6,48.5
Dun Morogh,47.3,52.3
Dun Morogh,47.6,52.7
Dun Morogh,46.7,53.8
Dun Morogh,45.8,49.4
Dun Morogh,30.2,45.6
Dun Morogh,25.1,51.1
Dun Morogh,21.2,52.3
Dun Morogh,25.9,43.2
Dun Morogh,47.3,52.5
Dun Morogh,45.8,49.4
Dun Morogh,46.7,53.8
Dun Morogh,63.1,49.9
Dun Morogh,59.8,50
Dun Morogh,59.8,50
Dun Morogh,62.6,46.1
Dun Morogh,63.1,49.9
Dun Morogh,68.7,56
Dun Morogh,69.1,56.3
Dun Morogh,70.7,56.5
Dun Morogh,68.7,56
Dun Morogh,69.1,56.3
Dun Morogh,47.4,52.5
Dun Morogh,47.4,52.6
Ironforge,70.8,90.3
Dun Morogh,27.8,58
Ironforge,70.8,90.3
Dun Morogh,45.8,53
Dun Morogh,47.9,56.6
Dun Morogh,45.8,53
Dun Morogh,48.5,56.4
Dun Morogh,45.8,53
Dun Morogh,49.3,62.3
Dun Morogh,45.8,53
Ironforge,70.9,85.8
Dun Morogh,86.3,48.8
Loch Modan,33.9,51
Loch Modan,34.8,47.1
Loch Modan,34.8,49.3
Loch Modan,37.4,38.9
Loch Modan,24.5,33.6
Loch Modan,24.8,18.4
Loch Modan,35.5,48.3
Loch Modan,34.8,49.3
Loch Modan,34.8,47.1
Loch Modan,22.1,73.1
Loch Modan,23.2,73.7
Loch Modan,31.1,70.7
Loch Modan,22.1,73.1
Loch Modan,23.2,73.7
Loch Modan,33.9,51
Ironforge,39.5,57.5
Ironforge,76.9,51.2
Stormwind City,64.6,37.2
Stormwind City,71,72.5
Stormwind City,22.6,56.1
Darkshore,32.4,43.7
Darkshore,37,44.1
Darkshore,36.3,45.6
Darkshore,36.6,45.6
Darkshore,39.4,43.5
Darkshore,37.4,40.1
Darkshore,36.1,47.3
Darkshore,32.4,43.8
Darkshore,69,30.9
Ironforge,27.6,12.2
Ironforge,31.8,78.2
Ironforge,27.6,12.2
Dun Morogh,78.3,58.1
Dun Morogh,77.9,58.4
Ironforge,23.5,8.3
Ironforge,27.6,12.2
Ironforge,21.6,54
Ironforge,36.4,50.8
Ironforge,36.7,46.3
Ironforge,36.6,45.6
Ironforge,32.7,47.7
Ironforge,31.9,46.3
Ironforge,39.6,52.9
Ironforge,39.4,43.5
Ironforge,36.6,45.6
Ironforge,37.4,40.1
Ironforge,44.2,36.3
Ironforge,44.6,36.9
Ironforge,44.2,36.3
Ironforge,42,28.6
Darkshore,37,44.1
Darkshore,32.4,43.8
Elwynn Forest,42.1,65.9
