zone,x,y
Teldrassil,58.7,44.3
Teldrassil,58.5,45.9
Teldrassil,58.7,44.3
Teldrassil,58.7,44.3
Teldrassil,58.7,44.3
Teldrassil,58.7,44.3
Teldrassil,58.7,44.3
Teldrassil,59.9,42.5
Teldrassil,59.6,38.4
Teldrassil,59.6,38.7
Teldrassil,59.2,40.4
Teldrassil,60.9,42
Teldrassil,57.6,45.3
Teldrassil,56.5,45.5
Teldrassil,57.6,45.3
Teldrassil,57.8,41.7
Teldrassil,58.7,40.5
Teldrassil,58.6,40.3
Teldrassil,58.8,36.8
Teldrassil,58.3,32.9
Teldrassil,54.6,33
Teldrassil,57.8,41.7
Teldrassil,58.7,44.3
Teldrassil,60.9,42
Teldrassil,55.2,39.6
Teldrassil,57.7,38.5
Teldrassil,56.7,32.1
Teldrassil,56.8,31.7
Teldrassil,55.8,25.5
Teldrassil,56.7,26.4
Teldrassil,56.8,32
Teldrassil,57.8,41.7
Teldrassil,59.4,39
Teldrassil,59.1,39.4
Teldrassil,60.9,42
Teldrassil,54.6,33
Teldrassil,59.9,33.1
Teldrassil,59.1,39.4
Teldrassil,61.2,47.6
Teldrassil,60.4,56.3
Teldrassil,63.8,54.2
Teldrassil,60.6,58.2
Teldrassil,60.4,56.3
Teldrassil,56.1,57.7
Teldrassil,56,57.3
Teldrassil,55,57.2
Teldrassil,55.6,56.9
Teldrassil,55.6,59.8
Teldrassil,56.1,61.7
Teldrassil,63.3,58.1
Teldrassil,66.3,58.5
Teldrassil,68,59.6
Teldrassil,63.6,62.3
Teldrassil,56,57.3
Teldrassil,55,57.2
Teldrassil,55.6,56.9
Teldrassil,56.1,61.7
Teldrassil,60.4,56.3
Teldrassil,60.9,68.5
Teldrassil,61.2,66.8
Teldrassil,60.9,68.5
Teldrassil,68.3,53.7
Teldrassil,69.4,53.3
Teldrassil,55.6,56.9
Teldrassil,52.4,56.5
Teldrassil,46.7,53.5
Teldrassil,44.4,57.8
Teldrassil,43.7,61.2
Teldrassil,44.4,60.7
Teldrassil,44.9,61.6
Teldrassil,45.6,58.7
Teldrassil,45.7,57.4
Teldrassil,44.9,61.6
Teldrassil,45.6,58.7
Teldrassil,44.7,62.5
Teldrassil,44.9,61.6
Teldrassil,55.7,59.8
Teldrassil,56,57.3
Teldrassil,54.7,52.8
Teldrassil,52.8,50.2
Teldrassil,55.6,56.9
Teldrassil,42.4,67.1
Teldrassil,42.6,76.1
Teldrassil,60.9,68.5
Teldrassil,56.1,61.7
Teldrassil,52.4,56.5
Teldrassil,38.3,34.4
Teldrassil,38.4,34.1
Teldrassil,37.4,37.3
Teldrassil,38.3,34.4
Teldrassil,34.7,29
Teldrassil,55.7,59.8
Teldrassil,56.1,61.7
Teldrassil,56.2,59.2
Darnassus,57.3,34.6
Darnassus,49,62
Teldrassil,49,62
Teldrassil,47.4,63.6
Darnassus,57.3,34.6
Teldrassil,56.7,59.5
Teldrassil,59,60
Teldrassil,56.7,59.5
Teldrassil,56,72
Teldrassil,56.7,59.5
Teldrassil,38.9,51.7
Teldrassil,56.7,59.5
Darnassus,40.4,8.5
Teldrassil,56,61.5
Darnassus,35.2,8.1
Moonglade,56.2,30.5
Moonglade,39.1,27.3
Moonglade,56.2,30.5
Moonglade,44.2,45.3
Teldrassil,56.3,92.4
Darnassus,35.2,8.1
Darnassus,31,42
Darkshore,36.4,45.6
Darkshore,43,46
Teldrassil,56.3,92.4
Darnassus,35.2,8.1
Teldrassil,39.2,80.1
Teldrassil,60.9,68.5
Teldrassil,56,57.3
Darnassus,70.7,45.4
Darnassus,38.2,21.6
Darnassus,35.1,9.1
Teldrassil,56.3,92.4
Teldrassil,56.3,92.4
Teldrassil,58.4,94
Darkshore,36.4,45.6
Darkshore,36.6,45.6
Darkshore,36.8,44.3
Teldrassil,56.3,92.4
Teldrassil,56.3,92.4
Darkshore,36.4,45.6
Darkshore,37,44.1
Darkshore,39.4,43.5
Darkshore,37.4,40.1
Darkshore,36.1,47.3
Darkshore,36.4,50.8
Darkshore,36.7,46.3
Darkshore,36.6,45.6
Darkshore,32.7,47.7
Darkshore,31.9,46.3
Darkshore,39.6,52.9
Darkshore,39.4,43.5
Darkshore,36.6,45.6
Darkshore,37.4,40.1
Darkshore,44.2,36.3
Darkshore,44.6,36.9
Darkshore,44.2,36.3
Darkshore,42,28.6
Darkshore,37,44.1
Darkshore,32.4,43.8
Stormwind City,71,72.5
Stormwind City,69,30.9
Ironforge,55.5,47.7
Dun Morogh,68.7,56
Dun Morogh,69.1,56.3
Dun Morogh,70.7,56.5
Dun Morogh,68.7,56
Dun Morogh,69.1,56.3
Loch Modan,33.9,51
Loch Modan,34.8,47.1
Loch Modan,34.8,49.3
Loch Modan,37.4,38.9
Loch Modan,24.5,33.6
Loch Modan,24.8,18.4
Loch Modan,35.5,48.3
Loch Modan,34.8,49.3
Loch Modan,34.8,47.1
Loch Modan,22.1,73.1
Loch Modan,23.2,73.7
Loch Modan,31.1,70.7
Loch Modan,22.1,73.1
Loch Modan,23.2,73.7
Loch Modan,33.9,51
Stormwind City,64.6,37.2
Elwynn Forest,42.1,65.9
