zone,x,y
Elwynn Forest,48.1,43.6
Elwynn Forest,48.9,41.6
Elwynn Forest,48.1,43.6
Elwynn Forest,48.9,40.2
Elwynn Forest,47.4,39.7
Elwynn Forest,47.9,37.1
Elwynn Forest,48.9,40.2
Elwynn Forest,48.9,41.6
Elwynn Forest,48.9,41.6
Elwynn Forest,48.9,41.6
Elwynn Forest,48.9,41.6
Elwynn Forest,48.9,41.6
Elwynn Forest,48.9,41.6
Elwynn Forest,49.7,39.4
Elwynn Forest,50.2,42.3
Elwynn Forest,49.8,39.5
Elwynn Forest,50.4,42.1
Elwynn Forest,48.1,43.6
Elwynn Forest,49.9,42.6
Elwynn Forest,50.3,39.9
Elwynn Forest,51.3,37
Elwynn Forest,54.3,41
Elwynn Forest,48.1,43.6
Elwynn Forest,48.9,41.6
Elwynn Forest,50.7,39.3
Elwynn Forest,53.6,47.3
Elwynn Forest,57.5,48.3
Elwynn Forest,50.7,39.3
Elwynn Forest,48.1,43.6
Elwynn Forest,49.3,41
Elwynn Forest,49.5,41.6
Elwynn Forest,47.7,32
Elwynn Forest,48.1,43.7
Elwynn Forest,48.9,41.6
Elwynn Forest,45.6,47.7
Elwynn Forest,42.1,65.9
Elwynn Forest,43.3,65.7
Elwynn Forest,43.8,65.8
Elwynn Forest,42.1,67.3
Elwynn Forest,39,82.3
Elwynn Forest,41.3,79.1
Elwynn Forest,42.1,67.3
Elwynn Forest,42.1,65.9
Elwynn Forest,43.3,65.7
Elwynn Forest,34.5,84.2
Elwynn Forest,43.1,85.7
Elwynn Forest,41.7,86.9
Elwynn Forest,43.2,89.6
Elwynn Forest,34.5,84.2
Elwynn Forest,29.8,86
Elwynn Forest,34.9,83.9
Elwynn Forest,34.6,84.5
Elwynn Forest,43.1,85.7
Elwynn Forest,38.3,81.6
Elwynn Forest,38.3,81.6
Elwynn Forest,41.7,78.3
Elwynn Forest,42.1,67.3
Elwynn Forest,42.1,65.9
Elwynn Forest,43.3,65.7
Elwynn Forest,49.7,66.3
Elwynn Forest,43.3,65.7
Elwynn Forest,43.2,89.6
Elwynn Forest,34.5,84.2
Elwynn Forest,74,72.2
Elwynn Forest,79.5,68.8
Elwynn Forest,81.4,66.1
Elwynn Forest,81.3,60.6
Elwynn Forest,72.7,60.3
Elwynn Forest,79.8,55.5
Elwynn Forest,81.4,66.1
Elwynn Forest,74,72.2
Elwynn Forest,80,77.8
Elwynn Forest,70.6,76.3
Elwynn Forest,69.7,79.5
Elwynn Forest,74,72.2
Elwynn Forest,79.5,68.8
Elwynn Forest,60.4,49.7
Elwynn Forest,42.4,65.8
Elwynn Forest,42.1,65.9
Elwynn Forest,41.7,65.6
Elwynn Forest,34.6,84.5
Elwynn Forest,24.3,74.8
Elwynn Forest,26.8,86.3
Elwynn Forest,24.3,74.8
Elwynn Forest,44.5,66.3
Elwynn Forest,41.1,65.8
Stormwind City,63.2,74.4
Stormwind City,59.7,33.8
Stormwind City,77.1,53.3
Stormwind City,76.8,52.5
Stormwind City,76.8,52.5
Stormwind City,77.1,53.3
Stormwind City,39.2,85.3
Elwynn Forest,71,80.8
Stormwind City,39.2,85.3
Stormwind City,39.1,84.3
Stormwind City,39.2,85.3
Stormwind City,69,30.9
Ironforge,55.5,47.7
Dun Morogh,68.7,56
Dun Morogh,69.1,56.3
Dun Morogh,70.7,56.5
Dun Morogh,68.7,56
Dun Morogh,69.1,56.3
Loch Modan,33.9,51
Loch Modan,34.8,47.1
Loch Modan,34.8,49.3
Loch Modan,37.4,38.9
Loch Modan,24.5,33.6
Loch Modan,24.8,18.4
Loch Modan,35.5,48.3
Loch Modan,34.8,49.3
Loch Modan,34.8,47.1
Loch Modan,22.1,73.1
Loch Modan,23.2,73.7
Loch Modan,31.1,70.7
Loch Modan,22.1,73.1
Loch Modan,23.2,73.7
Loch Modan,33.9,51
Stormwind City,64.6,37.2
Stormwind City,22.6,56.1
Darkshore,32.4,43.7
Darkshore,37,44.1
Darkshore,36.3,45.6
Darkshore,36.6,45.6
Darkshore,39.4,43.5
Darkshore,37.4,40.1
Darkshore,36.1,47.3
Darkshore,36.4,50.8
Darkshore,36.7,46.3
Darkshore,36.6,45.6
Darkshore,31.7,42.9
Darkshore,31.9,46.3
Darkshore,39.6,52.9
Darkshore,39.4,43.5
Darkshore,36.6,45.6
Darkshore,37.4,40.1
Darkshore,44.2,36.3
Darkshore,44.6,36.9
Darkshore,44.2,36.3
Darkshore,42,28.6
Darkshore,37,44.1
Darkshore,32.4,43.8
Elwynn Forest,41.1,66
Stormwind City,50.6,47.5
Stormwind City,50.6,47.5
Stormwind City,63.8,72.2
Stormwind City,63.8,72.2
Stormwind City,50.6,47.5
Stormwind City,49.5,45
Elwynn Forest,72.6,51.4
Elwynn Forest,73.6,51.3
Stormwind City,49.5,45
Stormwind City,50.6,47.5
Elwynn Forest,42.1,65.9
