zone,x,y
Stormwind City,80.6,59.9
Stormwind City,22.6,56.1
Darkshore,32.4,43.7
Ashenvale,35.5,50.2
The Barrens,68.6,49.2
The Barrens,68.6,48.7
The Barrens,68.6,49.2
Darkshore,36.4,45.6
Duskwood,74.7,46.9
Duskwood,77.4,36.1
Duskwood,75.8,45.3
Stormwind City,22.6,56.1
Darkshore,32.4,43.7
Ashenvale,35.5,50.2
Ashenvale,54.4,35.4
Ashenvale,50.1,56.4
Ashenvale,50.1,56.4
Ashenvale,53.5,46.3
Ashenvale,86.4,46.5
Ashenvale,86.8,44.8
Ashenvale,87.1,43.5
Ashenvale,86.5,43.6
Ashenvale,86,44.1
Ashenvale,85.2,44.7
Ashenvale,84.7,43.9
Ashenvale,78.3,44.8
Ashenvale,78,42.6
Ashenvale,80.3,49.1
Ashenvale,81.3,49.1
Ashenvale,86.4,52.9
Ashenvale,88.8,59.5
Ashenvale,83.8,67.7
Ashenvale,75.3,72.3
Ashenvale,74.1,73.6
Ashenvale,66.7,82.2
Ashenvale,61.9,83.9
Ashenvale,53.4,33.2
Ashenvale,53.4,33.2
Ashenvale,50.5,39.1
Ashenvale,86.4,46.5
Ashenvale,87.1,43.5
Ashenvale,86.5,43.6
Ashenvale,86,44.1
Ashenvale,85.2,44.7
Ashenvale,79,46.2
Ashenvale,87.1,43.5
Azshara,11.9,77.6
Ashenvale,35.5,50.2
Ashenvale,37.4,51.8
Ashenvale,50.1,56.4
Ashenvale,50.1,56.4
Ashenvale,53.5,46.3
Ashenvale,56,51.4
Ashenvale,56,51.4
Ashenvale,56.4,49.2
Ashenvale,53.5,46.3
Ashenvale,35.5,50.2
Ashenvale,36.6,49.6
Darkshore,36.4,45.6
Teldrassil,56.3,92.4
Teldrassil,58.4,94
Darnassus,61.8,39.2
Darnassus,62.3,83.3
Darnassus,61.8,39.2
Teldrassil,56.3,92.4
Darkshore,36.4,45.6
Wetlands,9.5,59.7
Wetlands,8.4,61.8
Wetlands,10.9,59.6
Wetlands,10.6,60.6
Wetlands,12.1,64.2
Wetlands,12.4,65.7
Wetlands,10.6,60.6
Wetlands,10.8,55.9
Wetlands,14.1,29.3
Wetlands,14.1,30.1
Wetlands,10.9,59.6
Wetlands,15.5,23.5
Wetlands,14.4,24
Wetlands,33.2,51.4
Wetlands,38.1,51.1
Wetlands,47.5,46.9
Wetlands,53.5,54.7
Wetlands,10.1,56.7
Wetlands,10.6,60.6
Wetlands,9.9,57.5
Wetlands,49.8,18.3
Wetlands,62.2,28.3
Wetlands,49.8,18.3
Wetlands,51.3,8
Wetlands,49.8,18.3
Arathi Highlands,48.8,88.1
Wetlands,49.8,18.3
Arathi Highlands,45.8,47.6
Arathi Highlands,45.8,46.1
Hillsbrad Foothills,49.3,52.3
Hillsbrad Foothills,49.5,58.7
Hillsbrad Foothills,48.1,59.1
Hillsbrad Foothills,50.3,59
Hillsbrad Foothills,51,58.7
Hillsbrad Foothills,51.5,58.4
Hillsbrad Foothills,51.9,58.7
Hillsbrad Foothills,52.4,56
Hillsbrad Foothills,55.7,57
Hillsbrad Foothills,51.9,58.7
Hillsbrad Foothills,46.4,64
Hillsbrad Foothills,51.5,58.4
Hillsbrad Foothills,46.4,64
Hillsbrad Foothills,51.5,58.4
Hillsbrad Foothills,49.5,58.7
Hillsbrad Foothills,51.5,58.4
Hillsbrad Foothills,56.2,65
Hillsbrad Foothills,51.5,58.4
Hillsbrad Foothills,55.6,35.2
Alterac Mountains,44.3,78.5
Alterac Mountains,56.9,66.7
Alterac Mountains,47.9,79.5
Alterac Mountains,58.3,68
Hillsbrad Foothills,51.2,58.9
Hillsbrad Foothills,51,58.7
Hillsbrad Foothills,50.6,57.1
Hillsbrad Foothills,48.1,59.1
Hillsbrad Foothills,52.4,56
Arathi Highlands,45.8,46.1
Arathi Highlands,34.2,29.2
Arathi Highlands,45.8,47.6
Ironforge,72.7,94
Ironforge,69.9,21.2
Ironforge,74.7,11.7
Ironforge,75.8,36.7
Ironforge,59.7,33.8
Ironforge,50.3,45.5
Duskwood,74.7,46.9
Stranglethorn Vale,38.2,4
Stranglethorn Vale,38,3.3
Stranglethorn Vale,37.7,3.3
Stranglethorn Vale,35.8,10.7
Stranglethorn Vale,40.8,10.9
Stranglethorn Vale,44,11.2
Stranglethorn Vale,44.5,9.7
Stranglethorn Vale,38,3.3
Stranglethorn Vale,35.8,10.7
Stranglethorn Vale,33.6,11.5
Stranglethorn Vale,35.8,10.7
Stranglethorn Vale,31,10
Stranglethorn Vale,27,16.3
Stranglethorn Vale,35.8,10.7
Stranglethorn Vale,26.9,77.2
Stranglethorn Vale,27.5,77.8
The Barrens,63.4,38.5
The Barrens,63.1,37.2
Thousand Needles,30.7,24.3
Thousand Needles,7.8,17.9
Thousand Needles,8.1,19
Thousand Needles,78.1,77.1
Thousand Needles,77.8,77.3
Thousand Needles,80.2,75.9
Thousand Needles,81.6,77.9
Thousand Needles,79.1,85.2
Thousand Needles,87.6,66.7
Thousand Needles,83.2,55.4
Thousand Needles,75.4,55
